,Year,Title,Nomination,Award,BestPicture
0,2015,Spotlight,6,2,True
1,2015,Mad Max: Fury Road,10,6,False
2,2015,The Revenant,12,3,False
3,2015,Bridge of Spies,6,1,False
4,2015,The Big Short,5,1,False
5,2015,The Danish Girl,4,1,False
6,2015,Room,4,1,False
7,2015,Ex Machina,2,1,False
8,2015,The Hateful Eight,2,1,False
9,2015,Inside Out,2,1,False
10,2015,Amy,1,1,False
11,2015,Bear Story,1,1,False
12,2015,A Girl in the River: The Price of Forgiveness,1,1,False
13,2015,Son of Saul,1,1,False
14,2015,Spectre,1,1,False
15,2015,Stutterer,1,1,False
16,2014,Birdman,9,4,True
17,2014,The Grand Budapest Hotel,9,4,False
18,2014,Whiplash,5,3,False
19,2014,The Imitation Game,8,1,False
20,2014,American Sniper,6,1,False
21,2014,Boyhood,6,1,False
22,2014,Interstellar,5,1,False
23,2014,The Theory of Everything,5,1,False
24,2014,Ida,2,1,False
25,2014,Selma,2,1,False
26,2014,Citizenfour,1,1,False
27,2014,Big Hero 6,1,1,False
28,2014,Crisis Hotline: Veterans Press 1,1,1,False
29,2014,The Phone Call,1,1,False
30,2014,Still Alice,1,1,False
31,2014,Feast,1,1,False
32,2013,12 Years a Slave,9,3,True
33,2013,Gravity,10,7,False
34,2013,Dallas Buyers Club,6,3,False
35,2013,Frozen,2,2,False
36,2013,The Great Gatsby,2,2,False
37,2013,Her,5,1,False
38,2013,Blue Jasmine,3,1,False
39,2013,Mr Hublot,1,1,False
40,2013,The Lady in Number 6: Music Saved My Life,1,1,False
41,2013,Helium,1,1,False
42,2013,The Great Beauty,1,1,False
43,2013,20 Feet from Stardom,1,1,False
44,2012,Argo,7,3,True
45,2012,Life of Pi,11,4,False
46,2012,Les Misérables,8,3,False
47,2012,Lincoln,12,2,False
48,2012,Django Unchained,5,2,False
49,2012,Skyfall,5,2,False
50,2012,Silver Linings Playbook,8,1,False
51,2012,Zero Dark Thirty,5,1,False
52,2012,Amour,5,1,False
53,2012,Anna Karenina,4,1,False
54,2012,Paperman,1,1,False
55,2012,Brave,1,1,False
56,2012,Searching for Sugar Man,1,1,False
57,2012,Inocente,1,1,False
58,2012,Curfew,1,1,False
59,2011,The Artist,10,5,True
60,2011,Hugo,11,5,False
61,2011,The Iron Lady,2,2,False
62,2011,The Descendants,5,1,False
63,2011,The Girl with the Dragon Tattoo,5,1,False
64,2011,Midnight in Paris,4,1,False
65,2011,The Help,4,1,False
66,2011,A Separation,2,1,False
67,2011,The Fantastic Flying Books of Mr. Morris Lessmore,1,1,False
68,2011,The Shore,1,1,False
69,2011,Undefeated,1,1,False
70,2011,The Muppets,1,1,False
71,2011,Saving Face,1,1,False
72,2011,Beginners,1,1,False
73,2011,Rango,1,1,False
74,2010,The King's Speech,12,4,True
75,2010,Inception,8,4,False
76,2010,The Social Network,8,3,False
77,2010,The Fighter,7,2,False
78,2010,Toy Story 3,5,2,False
79,2010,Alice in Wonderland,3,2,False
80,2010,Black Swan,5,1,False
81,2010,In a Better World,1,1,False
82,2010,The Lost Thing,1,1,False
83,2010,God of Love,1,1,False
84,2010,The Wolfman,1,1,False
85,2010,Strangers No More,1,1,False
86,2010,Inside Job,1,1,False
